questao;a;b;c;d;e;gabarito
"De acordo com o texto, uma das finalidades do aviso prévio é:";"Garantir a estabilidade provisória do empregado.";"Indicar a data do término do contrato de trabalho.";"Servir como penalidade para o empregado que pede demissão.";"Calcular o valor das férias proporcionais devidas.";"Permitir ao empregador descontar faltas não justificadas.";b
"Conforme a regulamentação mencionada no texto, o aviso prévio para um empregado com menos de um ano de contrato na mesma empresa terá a duração de:";"15 (quinze) dias, acrescidos de 3 (três) dias por ano.";"30 (trinta) dias, acrescidos de 2 (duas) horas diárias.";"30 (trinta) dias.";"60 (sessenta) dias, podendo chegar a 90 (noventa).";"90 (noventa) dias, independentemente do tempo de serviço.";c
"O texto estabelece que, para contratos com mais de um ano na mesma empresa, a duração do aviso prévio terá um acréscimo calculado da seguinte forma:";"2 (dois) dias por ano, até o máximo de 30 (trinta) dias.";"3 (três) dias por ano, sem limite máximo de acréscimo.";"5 (cinco) dias por ano, perfazendo um total de até 60 (sessenta) dias.";"3 (três) dias por ano, até o máximo de 60 (sessenta) dias.";"7 (sete) dias por ano, até o máximo de 90 (noventa) dias.";d
"Sobre a natureza jurídica e a possibilidade de reconsideração do aviso prévio, o texto afirma que:";"É ato unilateral, e a reconsideração pode ser feita a qualquer tempo pelo empregado.";"É ato bilateral, e a reconsideração independe do consentimento da parte contrária.";"É ato bilateral, e a reconsideração depende do consentimento da parte contrária.";"É ato unilateral, e a reconsideração só é possível se o empregado não tiver novo emprego.";"É ato facultativo, e a reconsideração é proibida após a comunicação.";c
"Em relação à concessão de auxílio-doença durante o cumprimento do aviso prévio, o texto, citando entendimento sumulado, informa que:";"O aviso prévio é automaticamente cancelado e a demissão invalidada.";"O empregado perde o direito às verbas rescisórias correspondentes.";"Os efeitos da dispensa só se concretizam depois de expirado o contrato, que está suspenso.";"O contrato é considerado rescindido imediatamente na data da concessão do benefício.";"O empregador deve pagar o aviso prévio em dobro como indenização.";c
"No que concerne à possibilidade de renúncia ao aviso prévio concedido pelo empregador, o texto, com base em entendimento sumulado, dispõe que:";"O direito ao aviso prévio é renunciável a critério exclusivo do empregado.";"O pedido de dispensa de cumprimento sempre isenta o empregador de pagar o respectivo valor.";"O direito ao aviso prévio é irrenunciável pelo empregado, mesmo que consiga novo emprego.";"O direito ao aviso prévio é irrenunciável pelo empregado, salvo comprovação de haver o prestador dos serviços obtido novo emprego.";"A renúncia é permitida apenas para empregados rurais e domésticos.";d
"Quanto à forma de cumprimento do aviso prévio trabalhado por empregados urbanos e domésticos, o texto indica que estes podem optar por:";"Redução de 1 (uma) hora diária ou redução de 10 (dez) dias consecutivos.";"Folga de 1 (um) dia por semana ou redução de 2 (duas) horas diárias.";"Redução de 2 (duas) horas diárias ou redução de 7 (sete) dias consecutivos.";"Redução de 3 (três) horas diárias ou folga aos sábados.";"Cumprimento integral da jornada, recebendo as horas reduzidas como extras.";c
"Especificamente sobre o cumprimento do aviso prévio pelo empregado rural, o texto estabelece que a redução da jornada se dá por meio de:";"Redução de 2 (duas) horas diárias.";"Redução de 7 (sete) dias consecutivos ao final do período.";"Folga de 1 (um) dia por semana.";"Folga de 2 (dois) dias por semana.";"Redução de 1 (uma) hora diária.";c
"O texto adverte que, caso o empregador não conceda a redução de jornada prevista para o cumprimento do aviso prévio trabalhado, a consequência é que:";"O empregador deverá pagar uma multa adicional ao empregado.";"O aviso será prorrogado por mais 30 dias.";"O contrato de trabalho será considerado nulo.";"Considera-se que o aviso não foi dado.";"O empregado poderá faltar nos dias correspondentes à redução não concedida.";d
"A respeito do aviso prévio indenizado, o texto afirma que, mesmo sem o trabalho efetivo:";"O contrato de trabalho é encerrado na data da comunicação da dispensa.";"O período não conta como tempo de serviço para nenhum efeito.";"O contrato de trabalho será projetado para o futuro.";"O empregado perde o direito ao saque do FGTS.";"O valor a ser pago corresponde a 50% do salário.";c
"Na hipótese de rescisão do contrato de trabalho por culpa recíproca, o texto informa que o aviso prévio será devido da seguinte forma:";"Integralmente, pago pelo empregador.";"Não será devido por nenhuma das partes.";"Com concessão de apenas 50% (cinquenta por cento) do aviso.";"Integralmente, pago metade pelo empregador e metade pelo empregado.";"Conforme decisão judicial, podendo variar entre 0% e 100%.";c
"Considerando a situação de abandono de emprego ocorrido durante o período de cumprimento do aviso prévio, o texto, mencionando entendimento sumulado, esclarece que tal ato:";"Configura justa causa, revertendo a modalidade da dispensa.";"Gera para o empregado a obrigação de indenizar o empregador.";"Não se considera justa causa.";"Anula o aviso prévio, encerrando o contrato imediatamente.";"Permite ao empregador descontar o restante dos dias do aviso das verbas rescisórias.";c
"Dentre as obrigações do empregador detalhadas no texto, decorrentes da cessação do contrato, encontra-se:";"Oferecer um plano de recolocação profissional ao empregado dispensado.";"Manter o plano de saúde do empregado por 90 dias após a dispensa.";"Proceder com a anotação da CTPS do empregado.";"Realizar o exame demissional obrigatoriamente no último dia de trabalho.";"Fornecer cartas de referência, se solicitado pelo empregado.";c
"O texto especifica que o prazo legal para o empregador promover o pagamento das verbas rescisórias é de:";"Até o primeiro dia útil imediato ao término do contrato.";"Até o quinto dia útil do mês subsequente ao término do contrato.";"Até dez dias contados a partir do término do contrato.";"Até trinta dias contados a partir da comunicação da dispensa.";"Até o último dia do aviso prévio, seja ele trabalhado ou indenizado.";c
