questao;a;b;c;d;e;gabarito
"Sobre a Convenção sobre os Direitos das Pessoas com Deficiência e sua internalização no Brasil, assinale a alternativa correta:";"A Convenção foi adotada pela ONU em 2009 e internalizada como lei ordinária pelo Congresso Nacional.";"Internamente, o Decreto nº 6.949, de 25/08/2009, promulgou o texto da Convenção com força de emenda constitucional, seguindo o rito previsto no parágrafo 3º, do art. 5º da Constituição Federal.";"A Convenção teve sua aplicação no Brasil iniciada por meio de uma Medida Provisória específica para direitos trabalhistas.";"O Brasil internalizou a Convenção através de um decreto legislativo simples, sem status constitucional diferenciado.";"A promulgação da Convenção no Brasil ocorreu em 2006, simultaneamente à sua adoção pela ONU, com força de lei complementar.";b
"Qual foi o papel das organizações da sociedade civil no processo de construção da Convenção sobre os Direitos das Pessoas com Deficiência?";"As organizações da sociedade civil tiveram um papel secundário, atuando apenas como observadoras externas sem direito a intervenções.";"A participação da sociedade civil foi vetada nas reuniões oficiais do Comitê, limitando-se a consultas informais posteriores.";"As organizações da sociedade civil no processo de construção da Convenção tiveram um papel destacado.";"O papel da sociedade civil foi relevante apenas na divulgação do texto final, sem participação ativa na sua elaboração.";"A sociedade civil contribuiu unicamente com a tradução do documento final para diversas línguas, sem influenciar o conteúdo.";c
"De acordo com a Convenção sobre os Direitos das Pessoas com Deficiência, como deve ser o ambiente de trabalho?";"O ambiente de trabalho deve priorizar a produtividade, adaptando-se apenas minimamente às necessidades das pessoas com deficiência.";"O ambiente de trabalho pode ser segregado, desde que ofereça condições básicas de segurança para todos os empregados.";"O ambiente de trabalho deve ser focado na reabilitação, sendo a acessibilidade um fator secundário perante a recuperação funcional.";"O ambiente de trabalho deve ser aberto, inclusivo e acessível a pessoas com deficiência.";"O ambiente de trabalho precisa ser acessível apenas para as deficiências mais comuns, excluindo adaptações complexas.";d
"Quais são os focos principais dos tópicos relativos ao trabalho na Convenção sobre os Direitos das Pessoas com Deficiência?";"Os tópicos relativos ao trabalho estão centrados na criação de cotas específicas e na redução da jornada de trabalho.";"Os tópicos relativos ao trabalho estão centrados na promoção de igualdade de oportunidades e na proibição da discriminação.";"Os tópicos relativos ao trabalho focam exclusivamente na reabilitação profissional e no treinamento especializado.";"Os tópicos de trabalho visam principalmente garantir benefícios previdenciários adicionais aos empregados com deficiência.";"A Convenção foca na obrigatoriedade de salários diferenciados e na prioridade de acesso a cargos de chefia.";b
"Qual a relação entre a Convenção sobre os Direitos das Pessoas com Deficiência e a Lei Brasileira de Inclusão (LBI - Lei nº 13.146/15)?";"A Lei Brasileira de Inclusão (LBI) é anterior à Convenção e serviu de modelo para o tratado internacional.";"A LBI revogou completamente a aplicação da Convenção no território brasileiro, estabelecendo novas regras.";"A Lei Brasileira de Inclusão LBI (Lei nº 13.146/15) decorre dessa Convenção e se pretende a regulamentação da mesma.";"A Convenção e a LBI são documentos independentes que tratam de aspectos totalmente distintos da vida da pessoa com deficiência.";"A LBI apenas menciona a Convenção em seu preâmbulo, sem incorporar ou regulamentar seus dispositivos específicos.";c
"Como a Lei Brasileira de Inclusão (LBI) define a deficiência, modificando o modelo anterior?";"Mantém a definição estritamente médica, focada apenas nas limitações clínicas e funcionais do indivíduo.";"Adota um modelo puramente social, desconsiderando os impedimentos corporais e focando apenas nas barreiras atitudinais.";"Nova definição de deficiência, transitando do modelo médico anteriormente aplicado para o modelo biopsicossocial, que considera a deficiência como decorrente dos impedimentos do indivíduo com as barreiras que obstruem sua participação plena e efetiva em sociedade.";"Define a deficiência com base na capacidade laboral, considerando deficiente apenas quem não pode exercer atividade remunerada.";"Utiliza um modelo assistencialista, definindo a deficiência pela necessidade de recebimento de benefícios sociais contínuos.";c
"Segundo a LBI, o que pode caracterizar discriminação em razão de deficiência?";"Apenas ações diretas e intencionais que visem prejudicar a pessoa com deficiência, exigindo comprovação de dolo.";"A exigência de exames médicos admissionais específicos para verificar a condição de saúde da pessoa com deficiência.";"A oferta de adaptações razoáveis, mesmo que estas não eliminem completamente as barreiras existentes no ambiente.";"A negativa de adaptação razoável ou tecnologia assistiva, como atitude tipificada e como discriminação.";"A discriminação só ocorre se houver recusa explícita de contratação, não abrangendo condições de trabalho ou promoções.";d
"O que a Lei Brasileira de Inclusão (LBI) veda expressamente em relação à aptidão exigida de empregados com deficiência?";"A LBI veda a realização de qualquer tipo de avaliação de desempenho para empregados com deficiência contratados.";"Proibição de práticas discriminatórias no emprego e vedação expressa de exigência de aptidão plena para empregados com deficiência.";"A lei proíbe apenas a exigência de aptidão plena para cargos de nível operacional, permitindo-a para cargos de gestão.";"A vedação se aplica somente se a empresa não fornecer os recursos de acessibilidade necessários para a função.";"É vedada a exigência de aptidão plena apenas nos primeiros 90 dias de contrato do empregado com deficiência.";b
"Qual a consequência prática, segundo o texto, da adoção do modelo biopsicossocial e da vedação de exigência de aptidão plena?";"A contratação de pessoa com deficiência isenta o empregador de fornecer qualquer recurso de acessibilidade específico.";"A ausência de acessibilidade, adaptação razoável ou tecnologias assistivas é causa para o efeito da experiência da deficiência, sendo essa ausência de acessibilidade definida como discriminação em razão de deficiência.";"Empresas que contratam pessoas com deficiência devem garantir que seu desempenho seja sempre idêntico ao dos demais empregados.";"A necessidade de adaptações só existe se o empregado com deficiência solicitar formalmente e comprovar a falta de desempenho.";"O modelo biopsicossocial implica que a responsabilidade pela adaptação recai exclusivamente sobre o empregado com deficiência.";b
"Qual princípio jurídico fundamenta o tratamento diferenciado para pessoas com deficiência no ambiente de trabalho, conforme mencionado no texto?";"Trata-se da aplicação do princípio da eficiência administrativa, buscando otimizar os recursos da empresa.";"Fundamenta-se no princípio da segregação positiva, criando ambientes específicos para diferentes necessidades.";"É a materialização do princípio da liberdade de contratação, permitindo ao empregador escolher critérios próprios.";"Trata-se da materialização do princípio da isonomia, o qual determina o tratamento diferenciado para indivíduos distintos, na justa medida em que se desigualam.";"Baseia-se no princípio da caridade, incentivando a ajuda mútua entre empregados com e sem deficiência.";d
