1. Qual o status da Convenção sobre os Direitos da Criança de 1989 no Brasil, segundo o texto?;Foi assinada pelo Brasil, mas aguarda ratificação interna para ter validade.;É considerada uma recomendação internacional sem força de lei no território nacional.;Foi promulgada no Brasil por meio do Decreto nº 99.710/1990.;Foi substituída integralmente pela legislação nacional, como o ECA.;Aplica-se apenas em casos julgados por cortes internacionais de direitos humanos.;C;"A Convenção sobre os Direitos da Criança de 1989, da Organização das Nações Unidas (ONU), foi promulgada no Brasil por meio do Decreto nº 99.710/1990."
2. De acordo com a Convenção sobre os Direitos da Criança, como é definida a criança?;Todo ser humano com menos de doze anos de idade completos.;Toda pessoa entre doze e dezoito anos de idade incompletos.;Todo ser humano com menos de dezoito anos de idade.;Toda pessoa que ainda não atingiu a maioridade civil, conforme a lei local.;Todo indivíduo dependente economicamente dos pais ou responsáveis.;C;"...entendida como todo ser humano com menos de dezoito anos de idade..."
3. Qual concepção fundamental a Convenção sobre os Direitos da Criança acolheu?;A concepção da criança como um adulto em miniatura, com os mesmos direitos e deveres.;A concepção do desenvolvimento integral da criança, reconhecendo-a como verdadeiro sujeito de direito, que exige proteção especial e absoluta prioridade.;A concepção de que a proteção da criança é dever exclusivo do Estado, isentando a família.;A concepção de que os direitos da criança são secundários aos interesses econômicos do país.;A concepção de que a criança só adquire direitos plenos ao atingir a idade de trabalhar.;B;"...acolheu a concepção do desenvolvimento integral da criança, reconhecendo-a como verdadeiro sujeito de direito, que exige proteção especial e absoluta prioridade..."
4. Quais são as três dimensões explícitas da proteção integral da criança e do adolescente trazidas pela norma internacional mencionada?;Saúde física, educação formal e proteção contra a violência doméstica apenas.;O reconhecimento da condição da criança como pessoa em desenvolvimento carecedora de proteção especial; a criança como titular de direitos próprios e específicos; e a prioridade na efetivação dos direitos das crianças.;O direito à liberdade de expressão, o direito ao voto a partir dos 16 anos e o direito à propriedade privada.;A prioridade no acesso a bens de consumo, a liberdade religiosa irrestrita e a proteção contra influências culturais externas.;O dever de obediência aos pais, a obrigação de frequentar a escola e a responsabilidade penal a partir dos 12 anos.;B;"A norma internacional trouxe, de forma explícita, as três dimensões em que se funda a proteção integral da criança e do adolescente, a saber: a) o reconhecimento da condição da criança como pessoa em desenvolvimento...; b) a criança como titular de direitos próprios e específicos...; e c) a prioridade e a preferência na efetivação dos direitos das crianças."
5. O que estabelece o artigo 32 da Convenção sobre os Direitos da Criança citado no texto, referente ao trabalho infantil?;Permite o trabalho infantil desde que autorizado pelos pais e com jornada reduzida.;Determina que toda criança deve trabalhar para auxiliar no sustento da família a partir dos 14 anos.;Os Estados Partes reconhecem o direito da criança de estar protegida contra a exploração econômica e contra o desempenho de qualquer trabalho que possa ser perigoso ou interferir em sua educação, ou que seja nocivo para sua saúde ou para seu desenvolvimento.;Incentiva o trabalho infantil como forma de aprendizado e desenvolvimento de responsabilidade.;Proíbe qualquer forma de trabalho para menores de 18 anos, sem exceções.;C;"Os Estados Partes reconhecem o direito da criança de estar protegida contra a exploração econômica e contra o desempenho de qualquer trabalho que possa ser perigoso ou interferir em sua educação, ou que seja nocivo para sua saúde ou para seu desenvolvimento físico, mental, espiritual, moral ou social."
6. Conforme o texto, qual o status conferido aos direitos da criança e do adolescente, incluindo a proteção contra a exploração econômica, após a Convenção?;Passam a ser considerados benefícios sociais concedidos pelo Estado.;Passam a integrar o rol de direitos fundamentais e universais, que devem ser respeitados e concretizados.;Tornam-se direitos secundários, dependentes da capacidade econômica do Estado.;São válidos apenas nos países que ratificaram protocolos adicionais específicos sobre trabalho.;São considerados direitos morais, sem exigibilidade jurídica direta.;B;"Dessa forma, os direitos da criança e do adolescente, inclusive contra a exploração econômica e qualquer forma de trabalho, passam a integrar o rol de direitos fundamentais e universais, que devem ser respeitados e concretizados."
7. Qual princípio a Constituição Federal de 1988 acolheu de forma explícita em seu artigo 227, em sintonia com o pensamento moderno sobre os direitos da criança e do adolescente?;O princípio da responsabilidade exclusiva do Estado pela criança.;O princípio da menoridade penal aos 16 anos.;O princípio da proteção integral.;O princípio da prioridade dos direitos dos pais sobre os dos filhos.;O princípio da intervenção mínima na vida familiar.;C;"...acolheu, de forma explícita, o princípio da proteção integral, que se encontra positivado no art. 227..."
8. Segundo o artigo 227 da Constituição Federal de 1988, de quem é o dever de assegurar os direitos da criança, do adolescente e do jovem com absoluta prioridade?;Exclusivamente do Estado, por meio de suas políticas públicas.;Primariamente da família, com apoio secundário da sociedade.;É dever da família, da sociedade e do Estado.;Principalmente das organizações não governamentais dedicadas à infância.;Apenas da comunidade local onde a criança ou adolescente reside.;C;"É dever da família, da sociedade e do Estado assegurar à criança, ao adolescente e ao jovem, com absoluta prioridade..."
9. Na esfera trabalhista, quais são os três direitos básicos explicitados na Constituição Federal para a proteção integral da criança e do adolescente?;Direito a férias remuneradas, décimo terceiro salário e FGTS a partir dos 14 anos.;Direito ao não trabalho (idade mínima), Direito ao trabalho protegido (normas de proteção) e Direito à profissionalização (aprendiz).;Direito a escolher livremente a profissão, direito a sindicalização e direito a greve.;Direito a trabalhar em qualquer atividade, desde que supervisionado, direito a igualdade salarial com adultos e direito a descanso semanal.;Direito a seguro-desemprego, direito a adicional de periculosidade e direito a licença-maternidade/paternidade para adolescentes.;B;"Na esfera trabalhista, a proteção integral à criança e ao adolescente é explicitada na Constituição Federal a partir de três direitos básicos: a) Direito ao não trabalho...; b) Direito ao trabalho protegido...; e c) Direito à profissionalização..."
10. Qual a exceção à regra da idade mínima para o trabalho mencionada no contexto da Constituição Federal e do direito à profissionalização?;O trabalho doméstico realizado na própria residência.;O trabalho artístico, desde que autorizado judicialmente.;O caso do aprendiz, a partir dos 14 (quatorze) anos.;O trabalho em empresas familiares, sem limite de idade.;O trabalho voluntário em instituições de caridade.;C;"...representado pela exceção à regra da idade mínima para o trabalho no caso do aprendiz, a partir dos 14 (quatorze) anos..."
11. Qual o objetivo da exceção à regra da idade mínima para o trabalho no caso do aprendiz, conforme descrito no texto?;Aumentar a mão de obra disponível no mercado a baixo custo.;Permitir que adolescentes sustentem suas famílias mais cedo.;Assegurar formação técnico-profissional, transição da escola para o trabalho e colocação em um emprego qualificado.;Reduzir a evasão escolar, obrigando o adolescente a conciliar estudo e trabalho.;Cumprir cotas empresariais de contratação de jovens, independentemente da qualificação.;C;"...com o objetivo de lhe assegurar formação técnico-profissional, transição da escola para o trabalho e colocação em um emprego qualificado."
